Component ID,Component Name,Component Label,Manufacturer or Distributor,Component Type,Measurement or Functionality,Link,Status,Number in Stock
DEV-12757,Redboard,Redboards,SparkFun,,,https://www.sparkfun.com/products/12757,,10
ADA-50,Arduino Unos,ARD UNOS,Adafruit,,,https://www.adafruit.com/products/50,,3
PRT-08483,Polymer Lithium Ion Battery,POLY ION BATTERY,SparkFun,,,https://www.sparkfun.com/products/8483,,7
,Male Headers,Breakaway,,,,http://www.amazon.com/Single-Header-Arduino-Prototype-Shield/dp/B00FR19WQA,,
ADA-1944,PowerBoost 1000C,POW B 1000,Adafruit,,,https://www.adafruit.com/product/1944,,2
SEN-00242,Infrared Proximity Sensor,IR Sensor/IR range sensor,SparkFun,,,https://www.sparkfun.com/products/242,,11
ADA-1304,USB LiIon/LiPoly Charger,Micro Lipo,Adafruit,,,https://www.adafruit.com/products/1304,,
PRT-11417,Female Headers ,FEM HEADERS,SparkFun,,,https://www.sparkfun.com/products/11417,,6
ADA-356,Potentiometer,Potentiometer,Adafruit,,,https://www.adafruit.com/product/356,,4
ADA-987,Audio Amplifier ,Amplifier,,,,https://www.adafruit.com/products/987,,3
BOB-09964,Microphone Breakout ,MICPHONE BRKOUT,SparkFun,,,https://www.sparkfun.com/products/9964,,1
BOB-11570 ROHS,TRRS 3.5mm Jack Breakout,3p5 Audio,SparkFun,,,https://www.sparkfun.com/products/11570,,3
,Alligator Clips,ALLIGATOR CLIPS,,,,,,4
,LED Holders,LED HOLDERS,,,,,,10 (5 small 5 big)
,Color Pals,COLOR PALS,,,,,,4
,Speakers,SPEAKER,,,,,,2
SEN-13249,Camera Module - pcDuino V3 (5MP),PC DUINO3 CAM,SparkFun,,,https://www.sparkfun.com/products/13249,,4
SEN-13285,PIR Motion Sensor ,IR PRESENCE SENSOR,,,,https://www.sparkfun.com/products/13285,,6
,Soldering Tubes,Solder,,,,,,2
,LEDS,LEDs,,,,http://www.amazon.com/microtivity-Assorted-Diffused-Resistors-Colors/dp/B005H8MWOW/ref=sr_1_2?s=industrial&ie=UTF8&qid=1459190681&sr=1-2&keywords=LED+5+colors+pack+of+50,,
,Soldering Wire,SOLDERING WIRE,,,,,,4
,4-Port USB Hub,,,,,http://www.amazon.com/HDE-SuperSpeed-Individual-Switches-Included/dp/B00L5ISCGA/ref=sr_1_2?ie=UTF8&qid=1459186041&sr=8-2&keywords=hde+4+port+usb+hub,,3
,AC/DC Adapter,,,,,http://www.amazon.com/Coming-Data-Adapter-Connector-Certified/dp/B0194B7XO6/ref=sr_1_1?ie=UTF8&qid=1459186128&sr=8-1&keywords=coming+data+5v+AC%2FDC+adapter,,5
ADA-913,"NTSC/PAL (Television) TFT Display - 3.5"" Diagonal",,Adafruit,,,https://www.adafruit.com/products/913,,1
ADA-1904,Micro Lipo w/MicroUSB Jack - USB LiIon/LiPoly charger,,Adafruit,,,https://www.adafruit.com/product/1904,,5
ADA-912,"NTSC/PAL (Television) TFT Display - 2.5"" Diagonal",,Adafruit,,,https://www.adafruit.com/product/912,,1
ADA-911,"NTSC/PAL (Television) TFT Display - 2.0"" Diagonal",2 IN MONITOR,Adafruit,,,https://www.adafruit.com/product/911,,2
DEV-13297,Raspberry Pi 2 ,,Sparkfun,,,https://www.sparkfun.com/products/13297,,2
DEV-13825,Raspberry Pi 3,,Sparkfun,CONTROL SYSTEM,,https://www.sparkfun.com/products/13825,,4
ROB-12221,"Aluminum Channel - 12""",,Sparkfun,,,https://www.sparkfun.com/products/12221,,2
ROB-13140,Channel Slider Kit,,Sparkfun,,,https://www.sparkfun.com/products/13140,,2
SEN-13284,9 Degrees of Freedom IMU Breakout - LSM9DS1,LSM 9 Degrees,Sparkfun,Sensor,,https://www.sparkfun.com/products/13284,,4
ADA-191,Arduino Mega,,Adafruit,,,https://www.adafruit.com/products/191,,3
,Rii Wireless Keyboard Touchpad,,,CONTROL SYSTEM: keyboard,,http://www.amazon.com/FAVI-FE01-BL-Wireless-Keyboard-Touchpad/dp/B003UE52ME/ref=sr_1_8?ie=UTF8&qid=1459187526&sr=8-8&keywords=rii+mini+handheld+wireless+keyboard+mouse,,3
,Spy Camera HD Video and Image Recording,,,video recorder,,http://www.amazon.com/PLAY-STORE-Multifunction-Included-Recording/dp/B014MGIDCO,,1
EW-7811Un,Wi-Fi Nano USB Adapter,Rasp Pi Adapter,Edi Max,Adapter,,http://www.edimax.com/edimax/merchandise/merchandise_detail/data/edimax/global/wireless_adapters_n150/ew-7811un,,3
 RB-Phi-107,Bridge Sensor Interface,,phidigits,,,http://www.robotshop.com/en/phidgetbridge-wheatstone-bridge-sensor-interface.html,,1
UT33D,Digital Multimeter  MSR-R500,,Etekcity,,,http://www.etekcity.com/product/100111.html,,1
,Leap Motion Controller,,Leap Motion,,,http://store-us.leapmotion.com/products/leap-motion-controller,,1
LCD-13733,Raspberry Pi LCD 7'' Touchscreen ,,Sparkfun,CONTROL SYSTEM,,https://www.sparkfun.com/products/13733,,3
DE550,Wireless Digital Video Otoscope/Earscope,,Firefly,,,http://www.amazon.com/Firefly-DE550-Wireless-Otoscope-magnification/dp/B005BD3N5A,,1
,2 Pack Coiled USB,,Cablematters,,,http://www.amazon.com/Cable-Matters-2-Pack-Gold-Plated-Micro-USB/dp/B00UASY666/ref=sr_1_1?s=industrial&ie=UTF8&qid=1459190261&sr=1-1&keywords=2+pack+coiled+usb+6ft+cable,,2
,Assorted Switches,Switches,,,,,,
SEN-13284,9 Degrees of Freedom IMU Breakout - LSM9DS1,LSM 9 Degrees,SparkFun,Sensor,,https://www.sparkfun.com/products/13284,,8
WRL-12577,Bluetooth Modem - BlueSMiRF Silver,BlueSMiRF,SparkFun,Bluetooth wireless serial cable replacement,,https://www.sparkfun.com/products/12577,,4
DEV-12935,FTDI SmartBasic,FTDI SmartBasic,SparkFun,,,https://www.sparkfun.com/products/12935,,3
,Terminal Blocks,Terminal Blocks,,,,,,
ADA175,Music & sound add-on pack for Arduino ,Arduino Music and Sound,Adafruit,,,https://www.adafruit.com/product/176,,2
RB-Phi-107,Phidgets PhidgetBridge Wheatstone Bridge Sensor ,,Robotshop,,,http://www.robotshop.com/en/phidgetbridge-wheatstone-bridge-sensor-interface.html,,1
SEN-12785,SparkFun ToF Range Finder Sensor - VL6180,TOF Range Finder,SparkFun,Sensor,,https://www.sparkfun.com/products/12785,Prime,4
,6 RPM Percision Gear Motor,6 RPM Motor,ServoCity,,,https://www.servocity.com/html/6_rpm_precision_gear_motor.html#.VzDfl4QrK70,Prime,2
466,VCNL4010 Proximity/Light sensor,Prox Light Sensor ,Adafruit,Sensor,,https://www.adafruit.com/product/466,Prime,5
,PLA Extrafill 1.75mm,,FilamentOne,Filament,PLA,,,2
,PLA Filament,,MakerBot,Filament,PLA,,,12
,NinjaFlex Filament,,NinjaTek,Filament,TPE (thermoplastic elastomer),,,4
MD0570,Pulse/Heartbeat Sensor,Pulse Sensor,Modern Device,Sensor,Pulse Oximetry Sensor,https://moderndevice.com/product/pulse-heartbeat-sensor/,,4
